Inputs;;;;;;;Outputs;;;;;
Flow UUID;Flow;Category;Sub-category;Unit;Result;;Flow UUID;Flow;Category;Sub-category;Unit;Result
95268685-7bea-4883-a412-119d7e88372c;Gold, Au 4.3E-4%, in ore;Resource;in ground;kg;1,01807E-07;;29066274-6556-11dd-ad8b-0800200c9a66;Acidity, unspecified;Emission to air;unspecified;kg;8,2019E-08
8c888d2b-d608-4dac-bad5-1c2a17050838;Gold, Au 4.9E-5%, in ore;Resource;in ground;kg;2,4384E-07;;b37294bd-947d-4f35-b9e6-3eb259c05ff5;Acidity, unspecified;Emission to water;unspecified;kg;6,03672E-07
3eece329-cf79-4167-93c2-b8d7d7eb5058;Gold, Au 6.7E-4%, in ore;Resource;in ground;kg;3,77505E-07;;dc64ecac-a65f-4d9a-9de6-557f1135659f;Aclonifen;Emission to soil;agricultural;kg;1,29316E-07
d28f9d42-5df5-41c3-be59-fdfa7ff57112;Gold, Au 7.1E-4%, in ore;Resource;in ground;kg;4,25675E-07;;d896ced7-a107-4017-b284-d95a8ef3e735;Acrolein;Emission to air;unspecified;kg;1,25186E-05
cf3d3dbc-0e4b-402d-92a1-8ea6b4869ed5;Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;Resource;in ground;kg;2,55074E-08;;12840cef-c3b8-4ef2-b7d4-3a73dbd6a280;Acrolein;Emission to air;low population density;kg;2,74463E-06
a4375a18-172c-4f82-90b7-bca972f75548;Granite;Resource;in ground;kg;3,07404E-09;;7ed6dc0d-9c2e-4046-a44b-e8a708c2081e;Acrolein;Emission to air;high population density;kg;5,86908E-07
5666353e-2db2-41d3-8414-404709151422;Graphite;Resource;in ground;kg;1152,63297;;43ea452a-a55c-3abc-ac05-8702536a1749;Acrylate;Emission to water;unspecified;kg;7,33571E-07
238f8ea9-98df-41dc-ab93-ea5b549a0b96;Gravel;Resource;in ground;kg;23,36502967;;faca26d7-b953-4dd6-94a9-7b8975452e1c;Acrylic acid;Emission to air;unspecified;kg;2,68036E-20
d8e5cb63-6a69-4b8f-a840-a55406a5f7fa;Groundwater Replenishment;Resource;land;(mm*m2)/a;0,250551318;;42f51ad5-6190-4641-b961-f411310554e9;Acrylic acid;Emission to air;high population density;kg;3,09948E-07
e3c8d565-1934-43c0-9967-99a353122d71;Groundwater Replenishment;Resource;land;mm*m2;57,02879243;;c25abc19-d0c4-4246-b6d6-a4418f673bb0;Acrylonitrile;Emission to water;fresh water;kg;9,78059E-09
